market,campaign,ad_type,state,spend,sales,orders
US,[US]_B0B94G13CN_RCPAINT_SP_BR_paint sealant,SP,enabled,50.89,78.76,4.0
US,[US]_B0DVV6K9Y6_SOAP32_SP_AT_SUB,SP,enabled,50.41,371.6,21.0
US,[US]_B084RQKLV8_HL_SP_EX_BRAND_cerakote ceramic headlight restoration kit,SP,enabled,50.37,737.69,38.0
US,[US]_B0B94G13CN_RCPAINT_SP_EX_KWMIX_BRANDED,SP,enabled,49.43,192.16,9.0
US,[US]_B084RQKLV8_HL_SP_BR_cerakote,SP,enabled,46.12,175.55,9.0
US,[US]_B0DKVZRX69_INTERIOR_SP_PT_COMP_ B071ZTPRJL_CGINTERIOR,SP,enabled,44.84,333.12,24.0
US,[US]_B0DJMW6283_MFTOWELS_SP_PT_B0B94G13CN_RCPAINT,SP,paused,43.9,144.43,6.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_ceracoat trim restorer,SP,enabled,42.89,453.83,27.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_cerakote trim coating,SP,enabled,40.5,1361.73,76.0
US,[US]_B0FYRJ1966_PLREST_SP_EX_BRAND_cerakote trim coat,SP,enabled,40.09,137.6,9.0
US,[US]_B0DVV6K9Y6 _SOAP32_SP_BR_car soap,SP,enabled,39.78,140.59,10.0
US,[US]_B084RQKLV8_HL_SBV_PT_COMP_B06ZYGJ4W8_CG_SILVERADO,SB,enabled,38.5,105.72,6.0
US,[US]_B0B94G13CN_RCPAINT_SBV_PT_CAT_Waxes_JEEP,SB,enabled,36.21,101.23,6.0
US,[US]_B0FYRJ1966_PLASTIC_SP_AT_SUBSTITUTES,SP,enabled,36.2,98.18,5.0
US,[US]_B0FYRJ1966_PLASTIC_SP_BR_black plastic restorer,SP,enabled,36.13,150.98,10.0
US,[US]_B0F45C2YHV_TIRE_SP_EX_cerakote tire shine,SP,enabled,35.66,405.35,25.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_trim restorer,SP,enabled,35.1,122.04,7.0
US,[US]_BEST SELLERS_SP_AT,SP,enabled,34.94,153.8,4.0
US,[US]_B0CN8HJSYM_PROPAINT_SP_PH_ceramic coating for cars,SP,enabled,34.86,0.0,0.0
US,[US]_B0F45C2YHV_TIRE_SP_PT_COMP_B0BNJZHVHM_MEGUIARS,SP,enabled,34.52,59.75,4.0
US,[US]_B0DKVZRX69_INTERIOR_SP_BR_cerakote interior,SP,enabled,34.38,227.26,16.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_cerakote ceramic trim coat restoration kit,SP,enabled,32.5,371.36,22.0
US,[US]_B084RQKLV8_HL_SP_PT_COMP_B001AIZ5HY_3M,SP,enabled,32.28,233.35,12.0
US,[US]_B084RQKLV8_HL_SP_BR_headlight kit,SP,enabled,32.21,125.65,7.0
US,[US]_B0FYRJ1966_PLASTIC_SP_EX_cerakote plastic restorer,SP,enabled,32.14,272.21,18.0
US,[US]_B0GYBH76BR_PROWHEEL_SP_EX_KWMIX,SP,enabled,32.03,239.8,4.0
US,[US]_B0FW6WFX4D_WHEEL_SP_EX_ceramic wheel coating,SP,enabled,30.23,120.6,8.0
US,[US]_B0C4QX35KX_TRIMPRO_SBV_THEME_KWRELATED_NISSAN,SB,enabled,29.83,90.06,3.0
US,[US]_B0CQN1RXYB_GLASS_SP_BR_cerakote,SP,enabled,29.02,198.48,13.0
US,[US]_B0CQN1RXYB_GLASS_SP_PT_B0B94G13CN_RCPAINT,SP,paused,28.25,222.9,9.0
